순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
94,여교사,2017-01-04,"1,601,000",0.0%,"1,601,000",205,205,1,1,한국,한국,(주)외유내강,필라멘트픽쳐스,청소년관람불가,드라마,김태용,"김하늘,유인영,이원근,이기우"
95,드림 쏭,2016-09-14,"546,000",0.0%,"1,824,294,700",202,"233,878",2,22,미국,미국,,(주)이수C&E,전체관람가,애니메이션,애쉬 브래넌,"J.K. 시몬스,루크 윌슨,에디 이자드,맷 딜런"
96,레이싱 익스팅션,,"2,010,000",0.0%,"2,255,000",201,257,1,1,미국,미국,,,,다큐멘터리,루이 시호요스,
96,"소년, 달리다",,"2,010,000",0.0%,"2,859,700",201,356,1,1,한국,한국,감어인 필름,,,다큐멘터리,강석필,
96,에코그라운드단편,,"2,010,000",0.0%,"2,010,000",201,201,1,1,한국,한국,,,,기타,"장형윤,김태용,박중하",
99,아이 엠 어 히어로,2016-09-21,"1,045,000",0.0%,"1,799,230,900",199,"211,656",5,9,일본,일본,,(주)영화사 빅,청소년관람불가,"액션,공포(호러)",사토 신스케,"오오이즈미 요,아리무라 카스미,나가사와 마사미"
100,페니 핀처,,"1,627,000",0.0%,"1,627,000",197,197,4,8,프랑스,프랑스,,주식회사 씨네룩스,,코미디,프레드 카바예,"대니 분,로렌스 아르네"
101,나는 증인이다,2016-09-14,"787,000",0.0%,"6,365,800",193,"1,250",1,7,한국,"한국,중국",(주)문와쳐,(주)문와쳐,15세이상관람가,"미스터리,스릴러",안상훈,"양미,루한"
102,내일을 위한 길,,"382,000",0.0%,"1,637,000",191,412,1,15,미국,미국,,,12세이상관람가,"드라마,멜로/로맨스",레오 맥커레이,
102,테일 오브 테일즈,2016-11-24,"1,389,200",0.0%,"4,156,700",191,549,1,2,이탈리아,"이탈리아,프랑스",,오드,청소년관람불가,판타지,마테오 가로네,"셀마 헤이엑,뱅상 카셀,스테이시 마틴,토비 존스,존 C. 라일리"
104,슬랙 베이: 바닷가 마을의 비밀,,"1,445,000",0.0%,"1,445,000",186,186,4,8,프랑스,프랑스,,,,코미디,브루노 뒤몽,"줄리엣 비노쉬,파브리스 루치니,발레리아 브루니 테데스키"
